ID,Submission_Result,Title,Team_Leader,URL
8846,Submitted,The strategy of integrating the informal economy into the fo,ahmed al-tieb,https://solve.mit.edu/solutions/8846
8831,Submitted,Continuous Food Delivery Program,Bruno Ferreira,https://solve.mit.edu/solutions/8831
8585,Submitted,Mawejje Creations,Mawejje Muhammed Dimma,https://solve.mit.edu/solutions/8585
8816,Submitted,Youth Employment Support  Uganda Limited (YES- UG),Ronah Nahabwe,https://solve.mit.edu/solutions/8816
8815,Submitted,solar freeze,Dysmus Kisilu,https://solve.mit.edu/solutions/8815
8797,Submitted,Virtual Therm - Improving the virtualization at all,SERTAÇ GÜNEY,https://solve.mit.edu/solutions/8797
8754,Submitted,Circular Economy of Plastics,Albert Kravos,https://solve.mit.edu/solutions/8754
8736,Submitted,100% Circular Closed Loop System for Plastic Bottles,Jack Buffington        明 张杰,https://solve.mit.edu/solutions/8736
8631,Submitted,Josiel : sustentabilidade e conscientização. ,Josiel Santos,https://solve.mit.edu/solutions/8631
8575,Submitted,ECOlabora,Bernardo Marquez,https://solve.mit.edu/solutions/8575
8610,Submitted,Mobile Solar Wearbles,Boaz Opio,https://solve.mit.edu/solutions/8610
8540,Submitted,Eco Panplas,Felipe Cardoso,https://solve.mit.edu/solutions/8540
8571,Submitted,Freecycle.org Friends Circle - a Sharing/Reuse Concept,Deron Beal,https://solve.mit.edu/solutions/8571
8547,Submitted,The Green Path Model [GPM] for Healthcare Financing,LIVINGSTONE ODERO,https://solve.mit.edu/solutions/8547
8556,Submitted,Foam & Fabric Architects,Rabih Maalouf,https://solve.mit.edu/solutions/8556
8538,Submitted,Recyglo' affordable circular economy solutions ,okka phyo maung,https://solve.mit.edu/solutions/8538
8525,Submitted,"The project is called ""Caramuru"" and the App to be developed",Dênis Borges De Oliveira,https://solve.mit.edu/solutions/8525
8522,Submitted,ECOACT TANZANIA,christian Mwijage,https://solve.mit.edu/solutions/8522
